,full_name,position,team,targets,rec,rec_yards,air_yards,yac,td,adot,racr,ms_air,tgt_share,wopr,ppr
163,Ced Wilson,WR,DAL,8,5,46,134,11,0,16.8,0.34,0.09,0.05,0.14,9.6
164,Deon Cain,WR,IND,14,4,52,143,11,0,10.2,0.36,0.11,0.07,0.18,9.2
165,DeAndrew White,WR,CAR,9,4,51,133,28,0,14.8,0.38,0.05,0.03,0.07,9.1
166,Chad Beebe,WR,MIN,2,2,70,2,66,0,1,35,0,0.03,0.05,9
167,Travis Benjamin,WR,LAC,16,6,30,214,19,0,13.4,0.14,0.12,0.08,0.2,9
168,Dontrelle Inman,WR,IND,8,4,49,77,11,0,9.6,0.64,0.1,0.09,0.21,8.9
169,Ventell Bryant,WR,DAL,1,1,15,15,0,1,15,1,0.01,0,0.01,8.5
170,Geremy Davis,WR,LAC,3,3,38,36,2,0,12,1.06,0.02,0.01,0.03,6.8
171,Jason Moore,WR,LAC,5,2,43,119,6,0,23.8,0.36,0.05,0.02,0.07,6.3
172,Devin Funchess,WR,IND,5,3,32,49,6,0,9.8,0.65,0.31,0.19,0.49,6.2
173,Johnny Holton,WR,PIT,15,3,21,377,10,0,25.1,0.06,0.12,0.04,0.14,6
174,Cody Core,WR,NYG,5,3,28,32,3,0,6.4,0.88,0.02,0.02,0.04,5.8
175,Donte Moncrief,WR,PIT,15,4,18,202,3,0,13.5,0.09,0.16,0.11,0.27,5.8
176,Andre Roberts,WR,BUF,7,3,20,109,5,0,15.6,0.18,0.03,0.02,0.05,5.7
177,Steven Mitchell,WR,HOU,6,2,37,101,14,0,16.8,0.37,0.21,0.09,0.29,5.7
178,Russell Shepard,WR,NYG,8,3,25,72,13,0,9,0.35,0.1,0.1,0.22,5.5
179,Gunner Olszewski,WR,NE,4,2,34,24,16,0,6,1.42,0.01,0.01,0.03,5.4
180,Ryan Grant,WR,OAK,9,4,14,35,5,0,3.9,0.4,0.08,0.14,0.26,5.4
181,C.J. Board,WR,JAC,4,2,31,31,6,0,7.8,1,0.05,0.05,0.11,5.1
182,Chris Moore,WR,BAL,5,3,21,61,10,0,12.2,0.34,0.04,0.03,0.07,5.1
183,Marqise Lee,WR,JAC,4,3,18,18,5,0,4.5,1,0.02,0.03,0.05,4.9
184,Stanley Morgan,WR,CIN,10,3,18,57,10,0,5.7,0.32,0.03,0.04,0.07,4.8
185,Fred Brown,WR,DEN,3,2,21,34,0,0,11.3,0.62,0.03,0.02,0.05,4.1
186,Josh Bellamy,WR,NYJ,3,2,20,23,10,0,7.7,0.87,0.03,0.02,0.05,4
187,Trevor Davis,WR,GB,1,1,28,18,10,0,18,1.56,0.03,0.02,0.05,3.8
188,Ashton Dulin,WR,IND,2,2,17,-6,23,0,-3,-2.83,0,0.01,0.01,3.7
189,Michael Walker,WR,JAC,3,2,15,12,7,0,4,1.25,0.01,0.01,0.02,3.5
190,Mike Thomas,WR,LA,5,2,14,51,10,0,10.2,0.27,0.03,0.02,0.05,3.4
191,John Ursua,WR,SEA,1,1,11,11,0,0,11,1,0.04,0.02,0.07,2.1
192,Austin Carr,WR,NO,4,1,9,41,4,0,10.2,0.22,0.08,0.05,0.13,1.9
193,Dwayne Harris,WR,OAK,1,1,7,0,7,0,0,Inf,0,0.01,0.02,1.7
194,Jaleel Scott,WR,BAL,3,1,6,39,6,0,13,0.15,0.29,0.14,0.42,1.6
195,Krishawn Hogan,WR,NO,1,1,4,2,2,0,2,2,0.01,0.02,0.04,1.4
196,Quincy Enunwa,WR,NYJ,3,1,-4,47,-4,0,15.7,-0.09,0.21,0.07,0.26,0.6
197,Greg Dortch,WR,CAR,0,0,0,0,0,0,NA,NA,0,0,0,0
198,JoJo Natson,WR,LA,0,0,0,0,0,0,NA,NA,0,0,0,0
199,Juwann Winfree,WR,DEN,0,0,0,0,0,0,NA,NA,0,0,0,0
200,Mack Hollins,WR,MIA,1,0,0,33,0,0,33,0,0.03,0.01,0.03,0
201,Matthew Slater,WR,NE,0,0,0,0,0,0,NA,NA,0,0,0,0
202,Taywan Taylor,WR,CLE,1,0,0,33,0,0,33,0,0.05,0.02,0.06,0
203,Trevor Davis,WR,MIA,0,0,0,0,0,0,NA,NA,0,0,0,0
